Chip Run Info,C:\Users\Teyton Lab\Dropbox (Scripps Research)\Teyton Lab\Biomark\SMS Files\20200203-GE-96x96-TNet006-Plate2\ChipRun.bml,1362427296,96.96 (136x),GE 96x96 Fast PCR+Melt v2,ROX,EvaGreen,2/3/2020 5:25:12 PM,00:30:38,BIOMARKHD178
Application Version,4.0.1
Application Build,20130423.0820
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A94,Empty2,Unknown,1,RPL13A,Test,999,0,Pass,0.0174594131105956,999,999,0,
S96-A93,Empty2,Unknown,1,PDCD1,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A92,Empty2,Unknown,1,IRF9,Test,999,0,Fail,0.0174594131105956,999,999,0,
S96-A91,Empty2,Unknown,1,IL5,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A01,Alt1-9 Cell13,Unknown,1,AIM2,Test,999,0,Pass,0.0174594131105956,999,999,0,
S06-A02,Alt1-9 Cell13,Unknown,1,CCR3,Test,15.2084339851636,1,Pass,0.0174594131105956,78.1744448090711,999,1,
S06-A03,Alt1-9 Cell13,Unknown,1,CD4,Test,999,0,Pass,0.0174594131105956,999,999,0,
S06-A04,Alt1-9 Cell13,Unknown,1,CXCL10,Test,15.9732615874627,1,Pass,0.0174594131105956,80.6602897729634,999,1,
S06-A05,Alt1-9 Cell13,Unknown,1,GSK3A,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A06,Alt1-9 Cell13,Unknown,1,IFIT3,Test,15.0006573742074,1,Pass,0.0174594131105956,79.9116662423993,999,1,
S06-A07,Alt1-9 Cell13,Unknown,1,IL2,Test,24.1976847271448,0,Fail,0.0174594131105956,999,73.2700861441435,0,
S06-A08,Alt1-9 Cell13,Unknown,1,IL5RA,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A09,Alt1-9 Cell13,Unknown,1,ISG15,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A10,Alt1-9 Cell13,Unknown,1,PPARA,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A11,Alt1-9 Cell13,Unknown,1,SOCS3,Test,16.9423396346043,1,Pass,0.0174594131105956,86.7173037798263,999,1,
S06-A12,Alt1-9 Cell13,Unknown,1,TNFAIP3,Test,999,0,Pass,0.0174594131105956,999,999,0,
S06-A13,Alt1-9 Cell13,Unknown,1,B2M,Test,999,0,Pass,0.0174594131105956,999,999,0,
S06-A14,Alt1-9 Cell13,Unknown,1,CCR4,Test,17.435631019713,0,Fail,0.0174594131105956,999,76.8165042981191,0,
S06-A15,Alt1-9 Cell13,Unknown,1,CD40,Test,15.4158667747232,1,Pass,0.0174594131105956,87.979641789554,999,1,
S06-A16,Alt1-9 Cell13,Unknown,1,CXCL9,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A17,Alt1-9 Cell13,Unknown,1,GSK3B,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A18,Alt1-9 Cell13,Unknown,1,IFNAR1,Test,999,0,Pass,0.0174594131105956,999,999,0,
S06-A19,Alt1-9 Cell13,Unknown,1,IL21,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A20,Alt1-9 Cell13,Unknown,1,IL7,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A21,Alt1-9 Cell13,Unknown,1,JAK1,Test,999,0,Pass,0.0174594131105956,999,999,0,
S06-A22,Alt1-9 Cell13,Unknown,1,PPARG,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A23,Alt1-9 Cell13,Unknown,1,STAT1,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A24,Alt1-9 Cell13,Unknown,1,TNFRSF1A,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A25,Alt1-9 Cell13,Unknown,1,BCL2,Test,15.9393215271723,0,Fail,0.0174594131105956,999,999,0,
S06-A26,Alt1-9 Cell13,Unknown,1,CCR5,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A27,Alt1-9 Cell13,Unknown,1,CD44,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A28,Alt1-9 Cell13,Unknown,1,CXCR3,Test,16.5717856987628,1,Pass,0.0174594131105956,86.7054485240655,999,1,
S06-A29,Alt1-9 Cell13,Unknown,1,HLA-DRA,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A30,Alt1-9 Cell13,Unknown,1,IFNAR2,Test,999,0,Pass,0.0174594131105956,999,999,0,
S06-A31,Alt1-9 Cell13,Unknown,1,IL25,Test,14.9077585885927,0,Fail,0.0174594131105956,999,999,0,
S06-A32,Alt1-9 Cell13,Unknown,1,IL7R,Test,999,0,Pass,0.0174594131105956,999,999,0,
S06-A33,Alt1-9 Cell13,Unknown,1,JAK2,Test,21.1625621461494,0,Fail,0.0174594131105956,999,78.6638888190151,0,
S06-A34,Alt1-9 Cell13,Unknown,1,PPARGC1A,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A35,Alt1-9 Cell13,Unknown,1,STAT3,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A36,Alt1-9 Cell13,Unknown,1,TNFRSF1B,Test,28.1575239050619,0,Fail,0.0174594131105956,999,999,0,
S06-A37,Alt1-9 Cell13,Unknown,1,BCL6,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A38,Alt1-9 Cell13,Unknown,1,CCR6,Test,15.0722705920686,0,Pass,0.0174594131105956,999,999,0,
S06-A39,Alt1-9 Cell13,Unknown,1,CD52,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A40,Alt1-9 Cell13,Unknown,1,CXCR4,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A41,Alt1-9 Cell13,Unknown,1,ICAM1,Test,18.6345905538031,0,Fail,0.0174594131105956,999,89.6617841964347,0,
S06-A42,Alt1-9 Cell13,Unknown,1,IFNG,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A43,Alt1-9 Cell13,Unknown,1,IL2RA,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A44,Alt1-9 Cell13,Unknown,1,IRF1,Test,22.0472724123691,0,Pass,0.0174594131105956,999,88.789215285151,0,
S06-A45,Alt1-9 Cell13,Unknown,1,LY6E,Test,18.1143088900296,0,Fail,0.0174594131105956,999,90.2901451565853,0,
S06-A46,Alt1-9 Cell13,Unknown,1,PTEN,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A47,Alt1-9 Cell13,Unknown,1,STAT4,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A48,Alt1-9 Cell13,Unknown,1,TRAF2,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A54,Alt1-9 Cell13,Unknown,1,IFNGR1,Test,26.3885622025446,0,Fail,0.0174594131105956,999,78.2517465479205,0,
S06-A53,Alt1-9 Cell13,Unknown,1,ICOS,Test,999,0,Pass,0.0174594131105956,999,999,0,
S06-A52,Alt1-9 Cell13,Unknown,1,FOXP3,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A51,Alt1-9 Cell13,Unknown,1,CD53,Test,999,0,Pass,0.0174594131105956,999,999,0,
S06-A50,Alt1-9 Cell13,Unknown,1,CCR7,Test,15.0483568045447,1,Pass,0.0174594131105956,81.9244524744218,999,1,
S06-A49,Alt1-9 Cell13,Unknown,1,C3,Test,21.2749687820783,0,Fail,0.0174594131105956,999,87.110898832956,0,
S06-A60,Alt1-9 Cell13,Unknown,1,TYK2,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A59,Alt1-9 Cell13,Unknown,1,STAT5B,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A58,Alt1-9 Cell13,Unknown,1,RAC1,Test,19.7198772000434,0,Fail,0.0174594131105956,999,85.9663944332293,0,
S06-A57,Alt1-9 Cell13,Unknown,1,NFKB1,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A56,Alt1-9 Cell13,Unknown,1,IRF2,Test,999,0,Pass,0.0174594131105956,999,999,0,
S06-A55,Alt1-9 Cell13,Unknown,1,IL3,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A66,Alt1-9 Cell13,Unknown,1,IL10,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A65,Alt1-9 Cell13,Unknown,1,IFI44,Test,14.8520280770734,1,Pass,0.0174594131105956,79.9311478908151,999,1,
S06-A64,Alt1-9 Cell13,Unknown,1,FYN,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A63,Alt1-9 Cell13,Unknown,1,CD8A,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A62,Alt1-9 Cell13,Unknown,1,CD274,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A61,Alt1-9 Cell13,Unknown,1,C5,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A72,Alt1-9 Cell13,Unknown,1,VAV1,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A71,Alt1-9 Cell13,Unknown,1,TBX21,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A70,Alt1-9 Cell13,Unknown,1,RAC2,Test,23.9009126758005,0,Fail,0.0174594131105956,999,76.2940411389394,0,
S06-A69,Alt1-9 Cell13,Unknown,1,NLRP3,Test,18.6630293312768,0,Fail,0.0174594131105956,999,999,0,
S06-A68,Alt1-9 Cell13,Unknown,1,IRF4,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A67,Alt1-9 Cell13,Unknown,1,IL4,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A78,Alt1-9 Cell13,Unknown,1,IL12RB1,Test,999,0,Pass,0.0174594131105956,999,999,0,
S06-A77,Alt1-9 Cell13,Unknown,1,IFI44L,Test,23.8287031275338,0,Fail,0.0174594131105956,999,82.8595094296952,0,
S06-A76,Alt1-9 Cell13,Unknown,1,GAPDH,Test,16.0669197316951,1,Pass,0.0174594131105956,81.3470962539775,999,1,
S06-A75,Alt1-9 Cell13,Unknown,1,CDC42,Test,14.6573608434108,1,Pass,0.0174594131105956,78.6621134878823,72.3731230914162,0.951002246570953,
S06-A74,Alt1-9 Cell13,Unknown,1,CD28,Test,999,0,Pass,0.0174594131105956,999,999,0,
S06-A73,Alt1-9 Cell13,Unknown,1,CCR1,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A84,Alt1-9 Cell13,Unknown,1,ZAP70,Test,999,0,Pass,0.0174594131105956,999,999,0,
S06-A83,Alt1-9 Cell13,Unknown,1,TGFBR2,Test,999,0,Pass,0.0174594131105956,999,999,0,
S06-A82,Alt1-9 Cell13,Unknown,1,RORC,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A81,Alt1-9 Cell13,Unknown,1,NR4A1,Test,25.1532122097775,0,Fail,0.0174594131105956,999,91.5598081193801,0,
S06-A80,Alt1-9 Cell13,Unknown,1,IRF7,Test,999,0,Pass,0.0174594131105956,999,999,0,
S06-A79,Alt1-9 Cell13,Unknown,1,IL4R,Test,999,0,Pass,0.0174594131105956,999,999,0,
S06-A90,Alt1-9 Cell13,Unknown,1,IL17A,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A89,Alt1-9 Cell13,Unknown,1,IFIT1,Test,14.9430769811966,1,Pass,0.0174594131105956,80.3110195174253,999,1,
S06-A88,Alt1-9 Cell13,Unknown,1,GATA3,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A87,Alt1-9 Cell13,Unknown,1,CTLA4,Test,14.5751000396408,1,Pass,0.0174594131105956,84.3654825250345,999,1,
S06-A86,Alt1-9 Cell13,Unknown,1,CD3E,Test,999,0,Pass,0.0174594131105956,999,999,0,
S06-A85,Alt1-9 Cell13,Unknown,1,CCR2,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A96,Alt1-9 Cell13,Unknown,1,ZEB2,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A95,Alt1-9 Cell13,Unknown,1,TNF,Test,17.6130022340411,0,Pass,0.0174594131105956,999,88.9676882547958,0,
S06-A94,Alt1-9 Cell13,Unknown,1,RPL13A,Test,19.006363462365,0,Pass,0.0174594131105956,999,90.0330441625123,0,
S06-A93,Alt1-9 Cell13,Unknown,1,PDCD1,Test,999,0,Fail,0.0174594131105956,999,999,0,
S06-A92,Alt1-9 Cell13,Unknown,1,IRF9,Test,15.2814743559533,0,Fail,0.0174594131105956,999,999,0,
S06-A91,Alt1-9 Cell13,Unknown,1,IL5,Test,999,0,Fail,0.0174594131105956,999,999,0,
